Year,Temp,Other_sector,Transport,Industry_product_use,Land_use
1990,118.35108,10586.273,5135.478,7233.925,5796.907
1991,112.16669,10693.8,5314.705,7060.02,5822.231
1992,111.56574,9804.24,5744.794,6705.7,5962.961
1993,109.64378,9768.514,5721.605,6919.692,5439.674
1994,111.84122,9893.174,5974.943,7449.641,5841.635
1995,119.00896,9720.624,6271.711,7621.267,6709.607
1996,108.52497,9727.608,7321.986,7660.634,6252.153
1997,121.25292,9435.387,7702.13,8536.262,4877.45
1998,119.01603,9894.346,9048.156,8425.878,5432.594
1999,118.71037,9695.297,9749.217,8748.247,5476.711
2000,114.17357,9849.741,10788.975,10385.12,5938.587
2001,113.41065,10189.764,11311.989,10475.091,6719.425
2002,117.58742,10045.509,11506.561,9602.987,7092.642
2003,119.04825,10314.181,11709.932,9125.346,7112.63
2004,116.51768,10263.576,12430.284,9349.925,5358.8
2005,117.86305,10798.742,13121.297,9639.716,5203.192
2006,119.33172,10493.974,13801.502,9627.958,6074.96
2007,121.31254,10290.858,14388.105,9739.063,4799.882
2008,113.10946,11164.84,13660.614,9149.555,3674.553
2009,113.2757,10660.208,12441.374,7183.454,3107.115
2010,102.39319,10948.225,11528.462,6955.58,4169.961
2011,115.18492,9503.323,11219.542,6492.059,4148.345
2012,112.31245,9105.365,10835.821,6724.151,4575.058
2013,115.6426,9006.9,11065.556,6815.293,4340.821
2014,118.36416,8126.671,11347.382,7325.318,4640.557
2015,112.71923,8362.238,11827.35,7684.135,4313.607
